tag,step,wall_time,value
loss/val_var/vo,30,1782891246.0514555,0.004895390011370182
loss/val_var/zos,30,1782891245.7480407,0.0017270116368308663
loss/train,31,1782891702.322163,0.001090478035621345
loss/train,32,1782892139.7316744,0.0010862882481887937
loss/train,33,1782892579.388907,0.0010807717917487025
loss/train,34,1782893016.240587,0.00107448804192245
loss/ema_val,35,1782893548.4341164,0.0010840018512681127
loss/ema_val_denorm,35,1782893548.4341214,0.014007758349180222
loss/train,35,1782893452.6831894,0.001068354700691998
loss/val,35,1782893548.4340212,0.0010989058064296842
loss/val_denorm,35,1782893548.4341102,0.014111921191215515
loss/val_denorm_lead/lead_01,35,1782893548.4341373,0.014111921191215515
loss/val_denorm_lead_var/siconc/lead_01,35,1782893548.4973907,0.0026142066344618797
loss/val_denorm_lead_var/sithick/lead_01,35,1782893548.528323,0.003932086285203695
loss/val_denorm_lead_var/so/lead_01,35,1782893548.6010234,0.009136916138231754
loss/val_denorm_lead_var/thetao/lead_01,35,1782893548.5771236,0.03451674059033394
loss/val_denorm_lead_var/uo/lead_01,35,1782893548.6257718,0.009428679943084717
loss/val_denorm_lead_var/vo/lead_01,35,1782893548.6482785,0.009692029096186161
loss/val_denorm_lead_var/zos/lead_01,35,1782893548.5550792,0.006569568999111652
loss/val_denorm_var/siconc,35,1782893548.4341526,0.0026142066344618797
loss/val_denorm_var/sithick,35,1782893548.5123184,0.003932086285203695
loss/val_denorm_var/so,35,1782893548.589206,0.009136916138231754
loss/val_denorm_var/thetao,35,1782893548.5664244,0.03451674059033394
loss/val_denorm_var/uo,35,1782893548.612338,0.009428679943084717
loss/val_denorm_var/vo,35,1782893548.637158,0.009692029096186161
loss/val_denorm_var/zos,35,1782893548.5407135,0.006569568999111652
loss/val_lead/lead_01,35,1782893548.434127,0.0010989058064296842
loss/val_lead_var/siconc/lead_01,35,1782893548.434654,0.0026142040733247995
loss/val_lead_var/sithick/lead_01,35,1782893548.518594,0.000515907013323158
loss/val_lead_var/so/lead_01,35,1782893548.593416,0.0002821564849000424
loss/val_lead_var/thetao/lead_01,35,1782893548.5698426,0.0010310009820386767
loss/val_lead_var/uo/lead_01,35,1782893548.6163383,0.004611416719853878
loss/val_lead_var/vo/lead_01,35,1782893548.6411707,0.0048509337939321995
loss/val_lead_var/zos/lead_01,35,1782893548.5459187,0.001694357837550342
loss/val_norm,35,1782893548.4341013,0.0010989058064296842
loss/val_norm_lead/lead_01,35,1782893548.4341326,0.0010989058064296842
loss/val_norm_lead_var/siconc/lead_01,35,1782893548.4919093,0.0026142040733247995
loss/val_norm_lead_var/sithick/lead_01,35,1782893548.5226936,0.000515907013323158
loss/val_norm_lead_var/so/lead_01,35,1782893548.5970502,0.0002821564849000424
loss/val_norm_lead_var/thetao/lead_01,35,1782893548.5735307,0.0010310009820386767
loss/val_norm_lead_var/uo/lead_01,35,1782893548.621278,0.004611416719853878
loss/val_norm_lead_var/vo/lead_01,35,1782893548.6448793,0.0048509337939321995
loss/val_norm_lead_var/zos/lead_01,35,1782893548.5507782,0.001694357837550342
loss/val_norm_var/siconc,35,1782893548.4341474,0.0026142040733247995
loss/val_norm_var/sithick,35,1782893548.5067787,0.000515907013323158
loss/val_norm_var/so,35,1782893548.584496,0.0002821564849000424
